2020-12-29 13:53:09,908 Connected (version 2.0, client OpenSSH_7.4)
2020-12-29 13:53:09,990 Authentication (password) successful!
2020-12-29 13:53:11,583 {'status': 0, 'data': 'l', 'cols': None, 'rows': None}
2020-12-29 13:53:11,675 {'status': 0, 'data': 's', 'cols': None, 'rows': None}
2020-12-29 13:53:11,856 {'status': 0, 'data': '\r', 'cols': None, 'rows': None}
2020-12-29 13:53:13,981 {'status': 0, 'data': 'v', 'cols': None, 'rows': None}
2020-12-29 13:53:14,094 {'status': 0, 'data': 'i', 'cols': None, 'rows': None}
2020-12-29 13:53:14,282 {'status': 0, 'data': ' ', 'cols': None, 'rows': None}
2020-12-29 13:53:14,475 {'status': 0, 'data': 'm', 'cols': None, 'rows': None}
2020-12-29 13:53:14,703 {'status': 0, 'data': 'y', 'cols': None, 'rows': None}
2020-12-29 13:53:14,853 {'status': 0, 'data': '\t', 'cols': None, 'rows': None}
2020-12-29 13:53:15,456 {'status': 0, 'data': '\r', 'cols': None, 'rows': None}
2020-12-29 13:53:16,251 {'status': 0, 'data': '\x1b[2;2R', 'cols': None, 'rows': None}
2020-12-29 13:53:16,352 {'status': 0, 'data': '\x1b[>0;276;0c', 'cols': None, 'rows': None}
2020-12-29 13:53:16,440 {'status': 0, 'data': '\x1bP0+r436f\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:16,444 {'status': 0, 'data': '\x1bP0+r6b75\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:16,448 {'status': 0, 'data': '\x1bP0+r6b64\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:16,451 {'status': 0, 'data': '\x1bP0+r6b72\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:16,462 {'status': 0, 'data': '\x1bP0+r6b6c\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:16,467 {'status': 0, 'data': '\x1bP0+r2332\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:16,471 {'status': 0, 'data': '\x1bP0+r2334\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:16,480 {'status': 0, 'data': '\x1bP0+r2569\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:16,482 {'status': 0, 'data': '\x1bP0+r2a37\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:16,503 {'status': 0, 'data': '\x1bP0+r6b31\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:16,512 {'status': 0, 'data': '\x1bP0+r6b32\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:16,522 {'status': 0, 'data': '\x1bP0+r6b33\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:16,534 {'status': 0, 'data': '\x1bP0+r6b34\x1b\\', 'cols': None, 'rows': None}
